country_code,country_name,region,income_level,som_row,som_col,macro_cluster,gdp_per_capita,life_expectancy,internet_users_pct,urban_population_pct,unemployment_pct,electricity_access_pct,co2_tons_per_capita_2018
CZE,Czechia,Europe & Central Asia,High income,6,8,1,31823.3078290564,79.9780487804878,87.68776014,72.7947984592185,2.6,100.0,9.640704998190015
DEU,Germany,Europe & Central Asia,High income,6,8,1,56103.7323182554,80.7926829268293,93.49999579,82.0211432579125,3.4,100.0,8.558389811702156
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,7,0,3,3552.72335079222,66.202,65.29889679,72.9052635052978,26.007,65.2,0.4571398717396131
DNK,Denmark,Europe & Central Asia,High income,8,7,1,71026.4832271897,82.2536585365854,99.76915157,88.6960552688405,5.358,100.0,5.761494163596057
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,4,6,4,10875.6618443092,73.868,91.0022446,72.4121874752151,5.312,99.6,2.3297974884745978
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,8,3,4,5752.99076651465,76.475,77.4178009,75.2792907190618,11.655,100.0,3.568283145749674
ECU,Ecuador,Latin America & Caribbean,Upper middle income,3,6,4,6874.705739766,77.579,77.17273115,63.2376932397602,3.453,98.7,2.3185366743175053
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,7,0,3338.47371395895,71.806,74.64839935,42.8004363938404,6.817,100.0,2.330196068976453
ESP,Spain,Europe & Central Asia,High income,7,5,1,35326.7683069278,83.8878048780488,95.7574516,80.315199821207,11.4,100.0,5.522208098322237
EST,Estonia,Europe & Central Asia,High income,5,9,1,31428.3547816104,79.2951219512195,92.23796204,70.6981161541961,7.6,100.0,12.103085000722404
ETH,Ethiopia,Sub-Saharan Africa,Not classified,0,2,2,1133.88279681719,67.603,21.94129944,23.6222839355469,3.357,55.4,0.14450026659766632
FIN,Finland,Europe & Central Asia,High income,7,6,1,53149.7671934051,82.3365853658537,93.72405196,74.2637190463636,8.4,100.0,8.042752049895523
FJI,Fiji,East Asia & Pacific,Upper middle income,2,6,0,6425.74151715712,67.463,74.7052002,59.0766602292457,5.361,99.3,2.0715671950980177
FRA,France,Europe & Central Asia,High income,7,6,1,46103.0840855884,82.9804878048781,88.65381638,78.7999750964116,7.4,100.0,4.615360699462113
GAB,Gabon,Sub-Saharan Africa,Upper middle income,8,1,3,8230.04311451151,68.511,68.72090149,91.8632094677575,20.091,94.1,2.083787231311231
GBR,United Kingdom,Europe & Central Asia,High income,7,7,1,53246.3676145108,81.3868536585366,95.4720993,83.2429544416085,4.361,100.0,5.412662734390321
GEO,Georgia,Europe & Central Asia,Upper middle income,6,3,4,9241.49122313713,74.657,83.79855689,61.0789605093733,11.557,100.0,2.538541690985413
GHA,Ghana,Sub-Saharan Africa,Lower middle income,2,4,0,2390.77237652715,65.695,72.17569733,58.3654868038581,2.82,89.5,0.52582473455398
GIN,Guinea,Sub-Saharan Africa,Lower middle income,2,1,2,1694.95375862193,60.904,33.30469894,38.0713036688655,5.132,51.1,0.24557697759912928
GMB,"Gambia, The",Sub-Saharan Africa,Low income,3,2,2,871.340291776294,66.057,49.49430084,64.2994103409645,6.48,66.9,0.2375364222514119
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,1,1,2,1007.74151728028,64.254,29.77739906,46.113204421822,2.647,40.5,0.16127622559526536
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,5,2,3,6745.40013244916,63.906,63.29930115,71.3574028749806,8.293,66.9,4.126397685752854
GRC,Greece,Europe & Central Asia,High income,7,5,1,24626.1481858973,81.8390243902439,86.26968886,78.9967856500534,10.02,100.0,6.083175050280065
GTM,Guatemala,Latin America & Caribbean,Upper middle income,2,5,0,6150.02571438505,72.746,60.22140121,55.9547027274763,2.613,100.0,1.0809889891684428
GUY,Guyana,Latin America & Caribbean,High income,0,9,4,29675.2443873316,70.319,83.00080109,26.477717988557,11.874,98.9,3.082536169266609
HND,Honduras,Latin America & Caribbean,Lower middle income,3,4,0,3426.43483328923,73.044,58.62269974,58.7850728104829,4.91,95.6,1.0004905168450038
HRV,Croatia,Europe & Central Asia,High income,2,9,4,24050.4397933135,78.9292682926829,83.63240029,57.5158981711443,5.0,100.0,4.156664640146411
HTI,Haiti,Latin America & Caribbean,Lower middle income,5,1,3,2142.62330526788,65.119,47.8614006,55.0372652481002,14.609,51.3,0.303766651748957
HUN,Hungary,Europe & Central Asia,High income,5,7,1,23292.3263882478,76.7243902439025,93.77898628,70.491825943218,4.5,100.0,4.779043169419398
IDN,Indonesia,East Asia & Pacific,Upper middle income,2,6,0,4925.43048751861,71.288,72.78075544,58.7509635387997,3.301,99.4,2.1600519079243488
IND,India,South Asia,Lower middle income,0,6,0,2694.73780859961,72.235,64.9434967,35.3788972368389,4.173,99.5,1.7709991253511277
IRL,Ireland,Europe & Central Asia,High income,6,7,1,112894.953240805,83.009756097561,97.18769836,64.3470379255585,4.3,100.0,7.576527831030567
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,8,4,4,5190.16959024821,77.854,85.3404007,77.0201263427734,8.146,100.0,7.307299456729126
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,7,2,4,6073.61032342708,72.424,81.47450256,69.8861494108913,15.293,100.0,4.67247198255266
ISL,Iceland,Europe & Central Asia,High income,8,7,1,86040.5309851288,82.809756097561,98.209198,94.1819039916522,3.6,100.0,6.237224321772732
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,8,7,1,54176.6844383302,83.1975609756098,88.18242225,91.536188843818,3.595,100.0,6.97640383662809
ITA,Italy,Europe & Central Asia,High income,6,6,1,40385.3413957669,83.9512195121951,89.2207202,69.6047535143071,6.5,100.0,5.400785500484483
JAM,Jamaica,Latin America & Caribbean,Upper middle income,2,7,4,7753.8006955432,71.606,90.10870361,58.9301585439922,3.151,97.7,3.01762669865611
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,8,2,4,4618.09592498567,77.981,95.62244985,92.9501393764286,16.693,100.0,2.360856201300172
JPN,Japan,East Asia & Pacific,High income,8,8,1,32487.0778047567,84.0363414634146,85.54153081,92.1901718034531,2.5,100.0,8.72282372980262
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,4,9,1,14154.6324958076,74.531,93.39167254,62.072531584162,4.833,100.0,11.643858805971268
KEN,Kenya,Sub-Saharan Africa,Lower middle income,0,3,2,2132.43452097647,63.834,34.97622513,31.8937831721599,5.487,76.2,0.3664819803299959
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,0,7,0,2420.18542283831,72.4,92.0286026,34.7219977865937,3.491,100.0,1.706993350019452
KHM,Cambodia,East Asia & Pacific,Lower middle income,1,5,0,2627.87969756224,70.817,68.47530365,40.8727033252729,0.254,95.0,0.6857344258713097
KOR,"Korea, Rep.",East Asia & Pacific,High income,7,9,1,36238.639908315,83.6292682926829,97.89563777,81.1682528469686,2.784,100.0,12.229704190698012
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,8,9,1,32717.7186631255,84.580487804878,99.74729919,100.0,2.151,100.0,20.69149754308705
LAO,Lao PDR,East Asia & Pacific,Lower middle income,1,6,0,2123.97909415109,69.225,65.59269714,39.5552154401406,1.174,96.5,2.636066410916317
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,8,3,4,3477.72489842684,77.945,80.63400269,90.703695784554,10.985,100.0,4.630589732590545
LBR,Liberia,Sub-Saharan Africa,Low income,1,1,2,851.497723870206,62.324,32.23360062,55.5387986654968,2.914,32.5,0.2669510909199013
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,8,1,3,6569.16408678648,71.121,81.95449829,87.8854066107749,19.085,73.2,8.605566753369626
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,0,9,4,14181.6303351598,72.846,68.20500183,29.0973354237452,10.199,100.0,2.203178225820119
LKA,Sri Lanka,South Asia,Lower middle income,0,6,0,4515.56787322732,77.672,54.59,20.2996997058686,4.239,100.0,0.9981541301338256
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,5,0,3,971.90771824829,57.798,51.79660034,43.6780334209246,16.34,57.3,1.1769538693617843
LTU,Lithuania,Europe & Central Asia,High income,5,6,4,29384.0189598663,77.1951219512195,89.16116293,68.8285833315315,6.851,100.0,4.111095346197503
LUX,Luxembourg,Europe & Central Asia,High income,7,9,1,137781.681659123,83.1951219512195,98.7606147,94.8438702866393,6.4,100.0,15.330208076322066
LVA,Latvia,Europe & Central Asia,High income,5,6,4,23409.0845154775,76.4292682926829,92.70757011,68.4839492628509,6.9,100.0,3.9591650779846552
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,6,3,4,4153.1943359375,75.493,91.2,62.7998124018197,9.103,100.0,1.8605035301575683
MDA,Moldova,Europe & Central Asia,Upper middle income,1,7,0,7576.19589413326,71.332,77.3687973,43.516471862793,1.427,100.0,3.1730165783651985
MDG,Madagascar,Sub-Saharan Africa,Low income,0,1,2,544.987501003384,63.835,18.67790031,32.4339893339844,3.051,39.4,0.12256806946852666
MDV,Maldives,South Asia,Upper middle income,2,9,4,13379.3513577224,81.285,85.23999786,41.9982152717385,4.278,100.0,4.037209970851767
MEX,Mexico,Latin America & Caribbean,Upper middle income,4,6,4,14185.7812248529,75.264,83.12233799,79.7538805976118,2.678,99.7,3.7900452367514363
MKD,North Macedonia,Europe & Central Asia,Upper middle income,7,3,4,9291.85661671864,76.6165853658537,93.6,62.5645376928533,12.265,100.0,3.901429871401037
MLI,Mali,Sub-Saharan Africa,Low income,1,2,2,1094.61949265799,60.675,36.80149841,31.6075621182225,2.924,54.5,0.2749237722476682
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,8,7,1,43898.5781808597,82.9560975609756,93.86029816,95.6546264490509,3.1,100.0,3.2031212867041536
MMR,Myanmar,East Asia & Pacific,Lower middle income,0,4,0,1359.05001560107,67.095,45.4477005,30.4499084074136,2.887,76.8,0.6221274551292965
MNE,Montenegro,Europe & Central Asia,Upper middle income,7,4,4,13263.3281277699,77.890243902439,88.88258428,65.5422314706266,13.206,100.0,4.022744469524518
MNG,Mongolia,East Asia & Pacific,Upper middle income,3,8,4,6750.6301157724,72.3980487804878,85.12349701,70.9566040039062,5.158,100.0,6.645493766109166
MOZ,Mozambique,Sub-Saharan Africa,Low income,2,0,2,656.776824637306,63.797,20.52729988,36.4332337447237,6.668,36.0,0.22881841067418587
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,4,1,3,2110.12036938187,68.713,45.77939987,60.6068586411829,10.257,50.3,0.9221508707985941
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,0,8,4,11990.7798944837,73.7890243902439,73.30793533,39.0162147027917,5.548,100.0,3.2633336414931686
MWI,Malawi,Sub-Saharan Africa,Low income,0,0,2,522.570393642547,67.561,18.96159935,17.268503531213,5.051,15.6,0.08473624440653083
MYS,Malaysia,East Asia & Pacific,Upper middle income,4,7,4,11874.4273684245,76.821,98.0206059,76.9170296648992,3.846,100.0,7.280855649121461
NAM,Namibia,Sub-Saharan Africa,Lower middle income,6,1,3,4413.12752211572,67.516,64.87460327,50.4088030252155,19.157,56.7,1.6489952574896394
NER,Niger,Sub-Saharan Africa,Low income,0,0,2,735.270255787226,61.433,15.55760002,18.0497398450803,0.376,20.1,0.10320862081328483
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,2,2,2,1084.16041805436,54.635,41.21139908,62.9755675573659,3.045,61.2,0.6376051225645437
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,3,4,0,2847.53966339498,75.1,61.39550018,59.2628402709961,4.98,88.3,0.8140523243459457
NLD,Netherlands,Europe & Central Asia,High income,8,8,1,67520.4218956281,81.9658536585366,97.00679779,95.6396517079336,3.7,100.0,8.772823733851203
NOR,Norway,Europe & Central Asia,High income,8,7,1,86785.4334489176,83.1609756097561,99.0,83.3293737928469,4.0,100.0,7.031361188693496
NPL,Nepal,South Asia,Lower middle income,4,2,3,1447.31004458428,70.636,46.32189941,66.772343163029,10.5,94.0,0.4284235484232037
NZL,New Zealand,East Asia & Pacific,High income,7,7,1,49205.1792146792,82.009756097561,93.51930237,83.9370658833132,4.724,100.0,6.5726645716851
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,6,9,1,20285.2272897377,80.246,95.25174678,79.4440302814714,3.203,100.0,15.957364670694757
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,5,0,1478.77277977996,67.799,57.253,39.1734368360905,5.492,95.6,0.9182171479513503
PAN,Panama,Latin America & Caribbean,High income,6,4,4,19161.2188501596,79.775,72.77149963,65.9958447685488,8.451,97.0,2.432903216518789
PER,Peru,Latin America & Caribbean,Upper middle income,4,5,4,8452.37167056621,77.941,81.95705992,85.1912729600355,5.199,96.2,1.70169627894075
PHL,Philippines,East Asia & Pacific,Lower middle income,2,5,0,3984.8315387656,69.946,67.26300914,55.4520983215477,2.202,98.0,1.2994073637243557
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,0,1,2,3006.70564478923,66.256,18.81159973,15.4061816403333,2.625,20.5,0.7940805446753866
POL,Poland,Europe & Central Asia,High income,5,8,1,25103.565661423,78.409756097561,88.58496367,59.9705468695101,2.807,100.0,8.23547225459022
PRT,Portugal,Europe & Central Asia,High income,6,6,1,29292.242104753,82.3829268292683,88.48704454,61.3281907341332,6.5,100.0,4.84061276050869
PRY,Paraguay,Latin America & Caribbean,Upper middle income,4,4,4,6416.09708970845,73.982,81.57806793,69.8622585886961,5.686,99.8,1.3100201606190514
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,8,9,1,76688.6941743178,82.522,98.08540344,99.3219891728394,0.13,100.0,34.939672201784454
ROU,Romania,Europe & Central Asia,High income,2,9,4,20080.2096215595,76.4585365853659,91.29048551,52.1674778928768,5.4,100.0,3.845132759267884
RUS,Russian Federation,Europe & Central Asia,High income,4,8,1,14889.0185546875,73.4404878048781,94.36495368,75.1119136177067,2.43,100.0,11.056196289104344
RWA,Rwanda,Sub-Saharan Africa,Low income,3,0,2,999.65456165547,68.017,31.70330048,29.8849714294083,11.331,63.9,0.08648305140392422
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,6,9,1,35121.6628687742,78.982,100.0,84.4554020211443,3.518,100.0,17.04183372780244
SEN,Senegal,Sub-Saharan Africa,Lower middle income,2,4,0,1773.21829923448,68.924,60.11780167,55.2368169057304,2.788,74.2,0.6195608557681178
SGP,Singapore,East Asia & Pacific,High income,8,8,1,90674.066632628,83.3463414634146,94.37757178,100.0,2.737,100.0,8.399134832361355
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,0,4,0,1933.55538435227,70.694,29.04070091,30.6617188562194,1.444,81.3,0.5217874463581351
SLE,Sierra Leone,Sub-Saharan Africa,Low income,1,1,2,806.654650417726,61.964,25.10499954,45.3626823156371,3.103,35.5,0.13501773696241595
SLV,El Salvador,Latin America & Caribbean,Upper middle income,3,5,0,5579.65969165029,72.302,66.47769928,75.0674905102199,3.261,98.3,1.094889278718777
