country_code,country_name,region,income_level,year,year_gap,som_row,som_col,macro_cluster,feature_distance,gdp_per_capita,life_expectancy,internet_users_pct,urban_population_pct,unemployment_pct,electricity_access_pct
THA,Thailand,East Asia & Pacific,Upper middle income,2022,-1,7,10,5,0.1660280499100094,6909.35281815827,75.291,87.97724503,59.742374420166,0.94,99.9
THA,Thailand,East Asia & Pacific,Upper middle income,2021,-2,7,10,5,0.25097793319295797,7057.20754802279,77.606,85.26956666,58.5087776184082,1.215,100.0
THA,Thailand,East Asia & Pacific,Upper middle income,2020,-3,7,10,5,0.45838726132265667,6985.64393892574,77.331,77.84374066,57.2358779907227,1.099,100.0
POL,Poland,Europe & Central Asia,High income,2020,-3,6,11,5,0.7319821943054724,16150.9304813473,76.4,83.18488715,59.8738141138092,3.155,100.0
JAM,Jamaica,Latin America & Caribbean,Upper middle income,2023,0,7,9,5,0.7430566892414647,7542.40084275345,71.479,89.47304282,58.4510149367429,3.022,97.7
ECU,Ecuador,Latin America & Caribbean,Upper middle income,2023,0,5,8,5,0.768381562208605,6737.84748379638,77.392,72.6943146,63.1307729554263,3.51,98.7
POL,Poland,Europe & Central Asia,High income,2022,-1,6,11,5,0.7718372825644069,18891.2121169279,77.1560975609756,86.94113479,59.8315488048321,2.811,100.0
POL,Poland,Europe & Central Asia,High income,2019,-4,6,11,5,0.7899368414468986,15874.5220531254,77.9048780487805,80.4359068768673,59.9626184068963,3.267,100.0
POL,Poland,Europe & Central Asia,High income,2021,-2,6,10,5,0.8152192501353022,18635.5104895754,75.3512195121951,85.37490906,59.8096513205543,3.268,100.0
CHN,China,East Asia & Pacific,Upper middle income,2023,0,5,10,0,0.8299204198614902,12951.1782397043,77.953,90.6,65.5301448035523,4.67,100.0
THA,Thailand,East Asia & Pacific,Upper middle income,2019,-4,8,11,5,0.8331036277860429,7605.69657797759,77.197,66.6524194587528,55.9266166687012,0.716,99.9
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,2019,-4,7,10,5,0.8378076225618692,9457.12614657136,73.658,81.8776204746284,59.0832474269546,4.8,100.0
MYS,Malaysia,East Asia & Pacific,Upper middle income,2019,-4,5,9,5,0.8391174704834689,10920.191763972,75.9,84.1871450078281,74.8377707734042,3.33,100.0
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,2023,0,6,10,5,0.8486871758595234,12879.4275257974,74.402,92.87846096,61.7560919499181,4.835,100.0
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,2022,-1,6,9,5,0.8501817636080627,11255.3396437881,73.503,92.29685266,61.444157327248,4.86,100.0
MYS,Malaysia,East Asia & Pacific,Upper middle income,2017,-6,5,8,5,0.8523510002691392,9862.54806612235,75.542,80.1404790103961,74.2354806421432,3.41,100.0
MYS,Malaysia,East Asia & Pacific,Upper middle income,2018,-5,5,9,5,0.858060268275204,10901.8019954421,75.734,81.2010486181174,74.5634625145296,3.3,100.0
JAM,Jamaica,Latin America & Caribbean,Upper middle income,2022,-1,7,9,5,0.858609220331875,6626.47502388538,71.481,85.84329987,57.9879906034775,4.083,100.0
MYS,Malaysia,East Asia & Pacific,Upper middle income,2016,-7,5,8,5,0.858905695740581,9476.53409809923,75.371,78.7883099275229,73.8588978909614,3.44,99.9
ECU,Ecuador,Latin America & Caribbean,Upper middle income,2022,-1,5,8,5,0.8604867615976874,6515.58528418336,76.577,69.71811356,63.0901835932266,3.713,100.0
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2023,0,6,9,5,0.869614048952285,7133.02838048328,74.429,89.0,58.5075350483702,5.64,100.0
POL,Poland,Europe & Central Asia,High income,2018,-5,6,11,5,0.874550812171862,15658.2120316794,77.6024390243903,77.5417345350006,60.0533306480907,3.835,100.0
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2022,-1,6,9,5,0.8862514441055348,7770.594223351,74.125,88.0,58.4382815854684,5.65,100.0
POL,Poland,Europe & Central Asia,High income,2023,0,6,11,5,0.8932886665956005,22145.2660647429,78.2585365853659,86.414744,59.8859561370214,2.743,100.0
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,2018,-5,7,10,5,0.9020430001511957,9472.48527327758,73.369,78.9039190578816,58.2388038921695,4.85,100.0
