country_code,country_name,region,income_level,capital_city,latitude,longitude,gdp_per_capita,gdp_per_capita_year,life_expectancy,life_expectancy_year,internet_users_pct,internet_users_pct_year,urban_population_pct,urban_population_pct_year,unemployment_pct,unemployment_pct_year,electricity_access_pct,electricity_access_pct_year,co2_mt_total_2018,population_2018,co2_tons_per_capita_2018
BOL,Bolivia,Latin America & Caribbean,Lower middle income,La Paz,-13.9908,-66.1936,4421.16609889999,2024.0,68.739,2024,79.70469666,2024.0,71.2361453773988,2024,3.274,2024.0,99.8,2023.0,22.71,11508368.0,1.9733466986804733
BRA,Brazil,Latin America & Caribbean,Upper middle income,Brasilia,-15.7801,-47.9292,10310.5488778166,2024.0,76.023,2024,84.46347227,2024.0,87.8958549533146,2024,6.801,2024.0,99.8,2023.0,427.71,206107261.0,2.0751816210880607
BRB,Barbados,Latin America & Caribbean,High income,Bridgetown,13.0935,-59.6105,26544.8707282621,2024.0,76.332,2024,70.36470032,2024.0,59.5397032429174,2024,6.448,2024.0,100.0,2023.0,1.25,280711.0,4.452978330026255
BRN,Brunei Darussalam,East Asia & Pacific,High income,Bandar Seri Begawan,4.94199,114.946,33153.4738913513,2024.0,75.501,2024,96.29828801,2024.0,74.8983133873697,2024,5.18,2024.0,100.0,2023.0,7.14,437810.0,16.308444302322926
BTN,Bhutan,South Asia,Lower middle income,Thimphu,27.5768,89.6177,3831.32535494609,2023.0,73.262,2024,91.27739716,2024.0,42.5645249803412,2024,3.282,2024.0,100.0,2023.0,1.38,759759.0,1.8163654527290891
BWA,Botswana,Sub-Saharan Africa,Upper middle income,Gaborone,-24.6544,25.9201,7695.75319445165,2024.0,69.293,2024,57.45950036,2024.0,67.4623537838418,2024,23.81,2024.0,76.0,2023.0,8.21,2299141.0,3.570898870491197
CAF,Central African Republic,Sub-Saharan Africa,Low income,Bangui,5.63056,21.6407,516.160999996036,2024.0,57.671,2024,13.78250027,2024.0,44.1243555638904,2024,6.253,2024.0,17.6,2023.0,0.33,4878657.0,0.0676415661113294
CAN,Canada,North America,High income,Ottawa,45.4215,-75.6919,54340.3477224733,2024.0,82.1080487804878,2024,94.353302,2024.0,82.7002565766633,2024,6.351,2024.0,100.0,2023.0,574.4,37072620.0,15.493914376701728
CHE,Switzerland,Europe & Central Asia,High income,Bern,46.948,7.44821,103998.186685604,2024.0,84.4073170731707,2024,97.3443985,2024.0,85.4615370020764,2024,4.343,2024.0,100.0,2023.0,37.48,8514329.0,4.401991043569024
CHI,Channel Islands,Europe & Central Asia,High income,,,,74585.5224096294,2023.0,81.2,2024,,,32.7056211227456,2024,6.031,2024.0,100.0,2023.0,,,
CHL,Chile,Latin America & Caribbean,High income,Santiago,-33.475,-70.6475,16709.8893972307,2024.0,81.359,2024,95.590243,2024.0,88.9950908479196,2024,8.718,2024.0,100.0,2023.0,86.62,18893191.0,4.584720495336124
CHN,China,East Asia & Pacific,Upper middle income,Beijing,40.0495,116.286,13303.1481543868,2024.0,78.017,2024,92.0,2024.0,65.8946980998325,2024,4.59,2024.0,100.0,2023.0,10313.46,1402760000.0,7.352262682140922
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,Yamoussoukro,5.332,-4.0305,2727.8935220697,2024.0,62.11,2024,41.43219902,2024.0,53.9733113940142,2024,2.273,2024.0,72.4,2023.0,9.91,27464173.0,0.36083373054779405
