country_code,country_name,region,income_level,log_gdp_per_capita,life_expectancy,internet_users_pct,urban_population_pct,unemployment_pct,electricity_access_pct,log1p_co2_tons_per_capita_2018,z_log_gdp_per_capita,z_life_expectancy,z_internet_users_pct,z_urban_population_pct,z_unemployment_pct,z_electricity_access_pct,z_log1p_co2_tons_per_capita_2018
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2.6167462934163774,66.289,16.09499931,25.7007352636188,13.687,85.3,0.18439218965603896,-1.9699014744804981,-1.0173829063784752,-2.1123652878317496,-1.693668712793602,1.224447269712738,-0.06318258468650827,-1.358728837217625
AGO,Angola,Sub-Saharan Africa,Lower middle income,3.425839691992421,64.805,40.70479965,70.6551379036435,14.02,51.1,0.6278413411841053,-0.6860396723875346,-1.2269193946673536,-1.1609557315879353,0.42474293379537553,1.2837422319318543,-1.5370732578561874,-0.8214866425114786
ALB,Albania,Europe & Central Asia,Upper middle income,4.056057369536366,79.776,85.86389923,58.5463634043555,10.689,100.0,1.1417101302645565,0.31398381640424305,0.886942307605429,0.5848852869572004,-0.14586567000737818,0.690614546791083,0.5703318274653716,-0.1989304935476925
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,4.701339173745331,83.069,100.0,85.8171088279791,2.16,100.0,3.1104002909275477,1.3379109198357484,1.3519043399068311,1.1313838840524235,1.13922903315595,-0.8280843504066474,0.5703318274653716,2.1861533857796553
ARG,Argentina,Latin America & Caribbean,Upper middle income,4.145189680571345,77.543,89.66715228,92.2742315972952,7.15,100.0,1.6040059597824248,0.4554181300094157,0.5716491955103715,0.7319182269482702,1.4435116678849294,0.06044976813206465,0.5703318274653716,0.3611446023180819
ARM,Armenia,Europe & Central Asia,Upper middle income,3.9322816417326782,78.319512195122,81.33930206,65.8113671449901,12.405,100.0,1.0540737672790808,0.11757765460254689,0.6812904613320372,0.4099653393664462,0.19648719495918343,0.99617056831662,0.5703318274653716,-0.3051026484027494
AUS,Australia,East Asia & Pacific,High income,4.810259311866428,83.0512195121951,96.13140106,87.6021469990446,3.942,100.0,2.802606263890373,1.510744371521887,1.349393786689377,0.9818246860930511,1.223346392727408,-0.5107761742070512,0.5703318274653716,1.8132584596464414
AUT,Austria,Europe & Central Asia,High income,4.765436661289243,81.9951219512195,94.91974877,69.4658181096788,5.2,100.0,2.097605280731762,1.4396202107687703,1.2002758795348771,0.9349824707307014,0.368697946984441,-0.2867729836015002,0.5703318274653716,0.9591441284836016
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,3.8623609880612517,74.576,90.43979645,58.573795837717,5.648,100.0,1.440167343760835,0.006628218376639215,0.15271741602714542,0.7617884833809998,-0.14457295599241024,-0.20700078217758386,0.5703318274653716,0.1626528082854452
BDI,Burundi,Sub-Saharan Africa,Low income,2.341285772304967,63.818,8.595999718,24.8302838651025,0.915,11.6,0.048551443085877194,-2.406999640973972,-1.3662809269726943,-2.4022749894761337,-1.734687484529317,-1.0497727226673081,-3.239373889148654,-1.5233009884245852
BEL,Belgium,Europe & Central Asia,High income,4.752928197375349,82.3,95.77579144,87.6126557010527,5.7,100.0,2.2169957293152853,1.4197718977678606,1.243323774209965,0.968076895128233,1.2238416002135968,-0.19774150879802205,0.5703318274653716,1.1037866120760047
BEN,Benin,Sub-Saharan Africa,Lower middle income,3.171837627247601,60.961,33.98379898,52.5455354818423,1.637,57.0,0.4939405122121069,-1.0890877619561075,-1.7696810260571472,-1.4207881632458947,-0.42864606555666984,-0.9212112730510855,-1.282805568625161,-0.9837085680287626
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2.9921082370978707,61.292,28.25270081,28.3352514896662,3.441,21.7,0.18972872942036942,-1.3742806693915215,-1.7229447877662982,-1.6423511784421991,-1.5695209201718965,-0.5999857119601364,-2.804102082159947,-1.3522635766003792
BGD,Bangladesh,South Asia,Lower middle income,3.413872205444439,74.93,53.42171316,32.6783196323307,3.635,99.5,0.4095274163365949,-0.7050295675875901,0.20270118749228427,-0.6693226068902617,-1.3648600728457094,-0.5654414997363869,0.5487837182085049,-1.085975708993695
BGR,Bulgaria,Europe & Central Asia,High income,4.245414381931057,75.7609756097561,82.438955,73.9499356882481,4.2,100.0,1.9641609192182603,0.6144537443505635,0.3200325292187009,0.4524776840914509,0.5800055463575453,-0.4648359332084565,0.5703318274653716,0.7974752169440639
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,4.472076960368025,81.423,100.0,100.0,1.084,100.0,3.0660902290966434,0.9741197939454213,1.1194939223033975,1.1313838840524235,1.807577405654679,-1.0196800841837326,0.5703318274653716,2.1324713913873548
BHS,"Bahamas, The",Latin America & Caribbean,High income,4.596106964170798,74.71,92.47270203,81.3249262966481,9.049,100.0,1.9102504260652193,1.1709294385131241,0.17163782669473968,0.8403801732375688,0.9275413844694028,0.39859130943567456,0.5703318274653716,0.7321622232007501
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,3.9712195951211458,78.044,86.10091103,52.1224302754935,10.69,100.0,2.03534032291673,0.17936403315304653,0.642388939872047,0.5940481118622054,-0.4485842906074841,0.6907926097406899,0.5703318274653716,0.8837096339658773
BLR,Belarus,Europe & Central Asia,Upper middle income,3.9199998061885797,74.3653414634147,94.26182128,79.1551015210848,3.458,100.0,1.9856317994164903,0.09808895336928154,0.12297304272245672,0.9095471363251604,0.8252915089139865,-0.5969586418168181,0.5703318274653716,0.8234873600730371
BLZ,Belize,Latin America & Caribbean,Upper middle income,3.885431561322737,73.739,80.00582262,41.7532107338224,8.698,99.6,1.025471559151112,0.043236387241861,0.03453544790195023,0.3584133127452241,-0.9372188659350768,0.336091214123633,0.5530933400598781,-0.33975445236981444
BOL,Bolivia,Latin America & Caribbean,Lower middle income,3.6455368312326466,68.739,79.70469666,71.2361453773988,3.274,99.8,1.0896881529856135,-0.33742631625827313,-0.6714500247694759,0.3467718482872032,0.45212207636822355,-0.6297222245444981,0.5617125837626248,-0.26195553520125336
BRA,Brazil,Latin America & Caribbean,Upper middle income,4.013281785386522,76.023,84.46347227,87.8958549533146,6.801,99.8,1.1233639632827606,0.24610792142246465,0.35702961181825654,0.5307450836984251,1.2371869581555293,-0.0016942012807631415,0.5617125837626248,-0.22115702161699166
BRB,Barbados,Latin America & Caribbean,High income,4.423980614697363,76.332,70.36470032,59.5397032429174,6.448,100.0,1.6961619419815546,0.8978009645797423,0.4006595140293503,-0.01431038929255319,-0.09905595706600796,-0.06455042249201869,0.5703318274653716,0.4727923120078083
