country_code,country_name,region,income_level,start_year,end_year,years_observed,start_som_row,start_som_col,end_som_row,end_som_col,complete_full_window,total_feature_distance,mean_feature_step,max_single_year_feature_step,total_som_steps,max_single_year_som_step
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,2014,2023,10,1,8,1,10,True,1.2877,0.1431,0.2003,6,2
GBR,United Kingdom,Europe & Central Asia,High income,2014,2023,10,2,9,2,10,True,1.2738,0.1415,0.2092,3,1
AUS,Australia,East Asia & Pacific,High income,2014,2023,10,0,8,1,10,True,1.2663,0.1407,0.2676,5,2
FIN,Finland,Europe & Central Asia,High income,2014,2023,10,4,11,3,11,True,1.2299,0.1367,0.228,1,1
TCD,Chad,Sub-Saharan Africa,Low income,2014,2023,10,8,0,8,0,True,1.1373,0.1264,0.1999,0,0
FRA,France,Europe & Central Asia,High income,2014,2023,10,0,7,0,8,True,1.0968,0.1219,0.2358,1,1
JPN,Japan,East Asia & Pacific,High income,2014,2023,10,1,11,1,11,True,1.0958,0.1218,0.2543,0,0
CHE,Switzerland,Europe & Central Asia,High income,2014,2023,10,3,11,2,11,True,1.0886,0.121,0.1576,1,1
BDI,Burundi,Sub-Saharan Africa,Low income,2014,2023,10,9,0,9,0,True,1.0165,0.1129,0.18,0,0
DNK,Denmark,Europe & Central Asia,High income,2014,2023,10,0,8,0,9,True,0.9966,0.1107,0.1582,3,2
DEU,Germany,Europe & Central Asia,High income,2014,2023,10,2,9,2,10,True,0.9826,0.1092,0.154,1,1
NER,Niger,Sub-Saharan Africa,Low income,2014,2023,10,9,0,9,0,True,0.9027,0.1003,0.2114,0,0
KOR,"Korea, Rep.",East Asia & Pacific,High income,2014,2023,10,2,10,2,11,True,0.8956,0.0995,0.1774,5,1
NZL,New Zealand,East Asia & Pacific,High income,2014,2023,10,2,9,2,10,True,0.8881,0.0987,0.1873,3,1
CAF,Central African Republic,Sub-Saharan Africa,Low income,2014,2023,8,7,0,7,0,False,12.2633,1.7519,4.8377,0,0
VEN,"Venezuela, RB",Latin America & Caribbean,Not classified,2014,2023,8,4,7,4,7,False,2.8009,0.4001,0.9323,6,3
BWA,Botswana,Sub-Saharan Africa,Upper middle income,2014,2022,9,3,1,1,0,False,2.5607,0.3201,0.7035,3,1
PRI,Puerto Rico (US),Latin America & Caribbean,High income,2014,2022,8,1,6,2,8,False,2.3043,0.3292,0.5502,3,1
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa,Low income,2014,2023,8,5,0,5,0,False,2.2889,0.327,0.6185,0,0
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2014,2022,8,0,1,0,1,False,2.1941,0.3134,0.5532,0,0
MMR,Myanmar,East Asia & Pacific,Lower middle income,2014,2020,7,9,3,8,4,False,2.1569,0.3595,0.6117,2,2
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,2014,2021,8,9,4,8,5,False,2.0206,0.2887,0.4127,2,2
SUR,Suriname,Latin America & Caribbean,Upper middle income,2014,2023,7,5,5,6,9,False,1.999,0.3332,0.9231,9,6
UKR,Ukraine,Europe & Central Asia,Upper middle income,2014,2021,8,4,4,3,5,False,1.8533,0.2648,0.3142,4,2
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2014,2021,8,3,3,2,3,False,1.5726,0.2247,0.3228,3,1
COM,Comoros,Sub-Saharan Africa,Lower middle income,2014,2023,9,9,4,8,5,False,1.5397,0.1925,0.3382,2,2
CUB,Cuba,Latin America & Caribbean,Upper middle income,2014,2020,7,5,6,4,8,False,1.5303,0.255,0.498,3,2
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2014,2020,7,8,5,9,5,False,1.2933,0.2155,0.3049,1,1
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,2014,2023,9,8,0,7,1,False,1.2461,0.1558,0.234,2,2
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2014,2018,5,4,3,4,3,False,1.1698,0.2924,0.3392,0,0
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,2014,2016,3,5,1,4,1,False,1.028,0.514,0.7669,1,1
SSD,South Sudan,Sub-Saharan Africa,Low income,2014,2015,2,7,0,7,0,False,0.7426,0.7426,0.7426,0,0
NCL,New Caledonia,East Asia & Pacific,High income,2014,2017,3,0,5,0,5,False,0.6903,0.3452,0.4325,0,0
GUM,Guam,East Asia & Pacific,High income,2014,2017,4,2,8,2,8,False,0.5897,0.1966,0.2865,0,0
VIR,Virgin Islands (U.S.),Latin America & Caribbean,High income,2014,2017,4,1,7,1,7,False,0.5162,0.1721,0.1745,0,0
PYF,French Polynesia,East Asia & Pacific,High income,2014,2017,4,0,5,0,5,False,0.4695,0.1565,0.173,0,0
SDN,Sudan,Sub-Saharan Africa,Low income,2015,2017,3,5,1,5,1,False,0.4632,0.2316,0.2361,0,0
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,2014,2016,3,7,6,7,6,False,0.2858,0.1429,0.1809,0,0
VUT,Vanuatu,East Asia & Pacific,Lower middle income,2014,2015,2,9,3,9,3,False,0.1775,0.1775,0.1775,0,0
